gsis_id,player,bucket,mu,sigma,snaps,cons,rating_0_100,active_2025,tier
00-0040740,Ozzy Trapilo,OL,34.836,1.83,542,29.346,91.7,1,S
00-0037271,D'Marco Jackson,LB,36.484,2.032,428,30.388,89.5,1,S
00-0040183,Elijah Roberts,DL,34.842,2.264,477,28.049,85.7,1,S
00-0038552,Riley Moss,DB,32.761,1.303,2033,28.853,83.4,1,S
00-0040148,Xavier Watts,DB,33.609,1.597,1038,28.819,83.3,1,S
00-0040189,Oronde Gadsden II,TE,34.327,2.0,619,28.326,82.8,1,S
00-0040259,Gage Larvadain,WR,39.113,3.795,179,27.727,81.7,1,S
00-0039108,Will Anderson Jr.,DL,31.976,1.608,2000,27.152,81.2,1,S
00-0035227,P.J. Locke,DB,32.954,1.592,1949,28.177,80.2,1,S
00-0037137,Josh Jobe,DB,32.978,1.604,1537,28.166,80.2,1,S
00-0039808,Isaiah Adams,OL,32.53,1.747,1149,27.29,80.1,1,S
00-0039872,Cole Bishop,DB,32.461,1.443,1422,28.131,80.0,1,S
00-0039774,Omar Speights,LB,32.807,1.522,1268,28.24,80.0,1,S
00-0039343,Kamari Lassiter,DB,32.474,1.459,1875,28.097,79.8,1,S
00-0031933,Leonard Williams,DL,31.335,1.513,7901,26.798,79.5,1,S
00-0039142,Will McDonald IV,DL,31.838,1.71,1480,26.708,79.0,1,S
00-0037112,Jake Tonges,TE,33.119,1.98,466,27.179,78.0,1,S
00-0031588,Stefon Diggs,WR,31.479,1.546,8319,26.841,77.8,1,S
00-0038839,Mitchell Tinsley,WR,35.196,2.786,273,26.838,77.7,1,S
00-0037840,Kyren Williams,RB,30.53,1.399,2620,26.335,76.7,1,S
00-0036204,LaCale London,DL,33.832,2.539,445,26.216,76.6,1,S
00-0033526,Samaje Perine,RB,32.038,1.97,2337,26.128,75.8,1,S
00-0038548,O'Cyrus Torrence,OL,30.329,1.28,3571,26.49,75.5,1,S
00-0039233,Roger Rosengarten,OL,30.79,1.445,1959,26.456,75.4,1,S
00-0036339,Kevin Dotson,OL,30.44,1.329,4895,26.454,75.3,1,S
00-0040784,Quinshon Judkins,RB,32.915,2.314,435,25.973,75.2,1,S
00-0040141,Kevin Winston Jr.,DB,35.796,2.91,295,27.068,75.0,1,S
00-0037816,Romeo Doubs,WR,30.599,1.464,2831,26.207,74.9,1,S
00-0037602,Sam Okuayinonu,DL,31.082,1.736,1134,25.875,74.9,1,S
00-0036564,Talanoa Hufanga,DB,30.895,1.301,3529,26.99,74.6,1,S
00-0040069,Teddye Buchanan,LB,33.449,2.142,624,27.022,74.6,1,S
00-0039813,Evan Williams,DB,31.556,1.532,1427,26.962,74.4,1,S
00-0039167,Joey Porter Jr.,DB,31.334,1.467,2619,26.932,74.3,1,S
00-0040152,Upton Stout,DB,32.982,2.019,627,26.927,74.3,1,S
00-0039838,Calen Bullock,DB,31.29,1.459,2077,26.914,74.2,1,S
00-0037249,Nik Bonitto,LB,31.401,1.498,2277,26.906,74.1,1,S
00-0039020,Anthony Bradford,OL,30.388,1.388,2311,26.225,74.1,1,S
00-0040719,Bhayshul Tuten,RB,34.837,3.038,218,25.723,74.1,1,S
00-0034778,Carlton Davis III,DB,31.062,1.428,6802,26.778,73.6,1,S
00-0039852,Jared Verse,DL,29.913,1.429,1852,25.627,73.6,1,S
00-0040579,Carson Schwesinger,LB,31.785,1.678,905,26.751,73.4,1,S
00-0031381,Davante Adams,WR,30.101,1.414,8584,25.859,73.3,1,S
00-0030035,Adam Thielen,WR,31.006,1.779,7741,25.668,72.5,1,S
00-0034114,Coleman Shelton,OL,29.625,1.227,4351,25.943,72.5,1,S
00-0038120,Breece Hall,RB,30.406,1.687,2154,25.345,72.5,1,S
00-0039075,Puka Nacua,WR,29.651,1.328,2435,25.666,72.5,1,S
00-0039147,Christian Gonzalez,DB,30.876,1.443,2092,26.546,72.5,1,S
00-0034960,Jakobi Meyers,WR,30.077,1.477,5205,25.645,72.4,1,S
00-0038135,Jaquan Brisker,DB,30.468,1.311,3204,26.536,72.4,1,S
00-0038127,Logan Hall,DL,30.579,1.731,2079,25.387,72.4,1,S
00-0032164,Arik Armstead,DL,30.356,1.662,5912,25.37,72.3,1,S
00-0033156,Joey Bosa,DL,30.127,1.586,5438,25.37,72.3,1,S
00-0035166,Azeez Al-Shaair,LB,30.921,1.473,4265,26.501,72.3,1,S
00-0038922,Drake Thomas,LB,32.055,1.849,870,26.507,72.3,1,S
00-0035689,Dawson Knox,TE,30.296,1.504,4990,25.785,72.2,1,S
00-0035944,Jonah Williams,DL,31.918,2.191,1406,25.345,72.2,1,S
00-0038553,Daiyan Henley,LB,30.916,1.493,1989,26.437,72.0,1,S
00-0034673,Tremaine Edmunds,LB,30.405,1.334,7509,26.402,71.9,1,S
00-0036410,Tee Higgins,WR,30.188,1.55,4447,25.538,71.9,1,S
00-0036220,Derrick Brown,DL,29.677,1.492,3885,25.201,71.5,1,S
00-0036900,Ja'Marr Chase,WR,29.801,1.451,4866,25.449,71.5,1,S
00-0036290,Cole Kmet,TE,29.907,1.43,5026,25.616,71.4,1,S
00-0038412,Moro Ojomo,DL,30.061,1.623,1258,25.191,71.4,1,S
00-0031898,Alex Singleton,LB,30.248,1.325,4476,26.274,71.3,1,S
00-0035763,Malcolm Roach,DL,30.202,1.681,1917,25.161,71.3,1,S
00-0034805,John Franklin-Myers,DL,30.04,1.628,3729,25.156,71.2,1,S
00-0039793,AJ Barner,TE,30.0,1.478,1409,25.565,71.2,1,S
00-0038106,Eyioma Uwazurike,DL,31.077,1.985,647,25.123,71.1,1,S
00-0039736,Matt Goncalves,OL,30.103,1.473,1489,25.683,71.0,1,S
00-0040237,Tez Johnson,WR,31.917,2.193,471,25.339,71.0,1,S
00-0035402,Carl Granderson,DL,30.051,1.654,3633,25.089,70.9,1,S
00-0037253,Marcus Jones,DB,30.965,1.581,1816,26.222,70.9,1,S
00-0036555,Chuba Hubbard,RB,30.158,1.728,2489,24.974,70.8,1,S
00-0039888,Quinyon Mitchell,DB,30.411,1.402,2090,26.204,70.8,1,S
00-0039840,Austin Booker,DL,29.701,1.546,904,25.064,70.8,1,S
00-0040188,Yahya Black,DL,32.254,2.393,423,25.073,70.8,1,S
00-0036282,Grant Delpit,DB,30.543,1.457,4153,26.173,70.7,1,S
00-0039064,Zay Flowers,WR,29.734,1.488,2582,25.269,70.7,1,S
00-0039169,Devon Witherspoon,DB,30.517,1.449,2734,26.169,70.7,1,S
00-0035647,Montez Sweat,DL,29.317,1.431,4717,25.024,70.6,1,S
00-0039744,Tanor Bortolini,OL,30.23,1.537,1215,25.619,70.6,1,S
00-0038041,Jake Ferguson,TE,30.142,1.582,2673,25.396,70.5,1,S
00-0035642,Josh Hines-Allen,DL,29.581,1.53,5086,24.992,70.4,1,S
00-0038715,Ronnie Hickman Jr.,DB,30.583,1.492,1720,26.107,70.4,1,S
00-0037841,Quentin Lake,DB,30.303,1.405,2479,26.089,70.3,1,S
00-0039860,Kool-Aid McKinstry,DB,30.667,1.526,1649,26.089,70.3,1,S
00-0036985,Robert Hainsey,OL,29.994,1.481,3322,25.551,70.2,1,S
00-0036970,Kyle Pitts,TE,29.62,1.439,3407,25.303,70.1,1,S
00-0035276,Blake Cashman,LB,30.741,1.587,2938,25.979,70.0,1,S
00-0034203,Darious Williams,DB,30.851,1.613,5559,26.014,69.9,1,S
00-0038124,Christian Watson,WR,29.94,1.617,1944,25.089,69.9,1,S
00-0038796,Alex Palczewski,OL,30.686,1.733,793,25.487,69.9,1,S
00-0036500,Jamien Sherwood,LB,30.55,1.536,2353,25.943,69.8,1,S
00-0036994,Ernest Jones,LB,30.169,1.412,4068,25.933,69.8,1,S
00-0037297,Cade Mays,OL,29.847,1.458,1676,25.473,69.8,1,S
00-0039751,Jordan Whittington,WR,30.603,1.84,735,25.082,69.8,1,S
00-0036613,Jaylen Waddle,WR,30.096,1.68,3738,25.057,69.7,1,S
00-0026498,Matthew Stafford,QB,29.353,1.224,9529,25.682,69.5,1,S
00-0040245,Connor Colby,OL,31.889,2.156,427,25.421,69.5,1,S
00-0040715,Cam Skattebo,RB,32.87,2.745,273,24.634,69.4,1,S
00-0036223,Jonathan Taylor,RB,29.07,1.483,3624,24.621,69.3,1,S
00-0035277,Mike Jackson,DB,29.974,1.367,3754,25.872,69.3,1,S
00-0032701,Jake Brendel,OL,29.497,1.38,4602,25.356,69.1,1,S
00-0036428,Justin Strnad,LB,30.72,1.645,1590,25.784,69.1,1,S
00-0039339,Taliese Fuaga,OL,29.849,1.498,1781,25.355,69.1,1,S
00-0040238,LeQuint Allen Jr.,RB,32.808,2.748,244,24.565,69.1,1,S
00-0039366,Tarheeb Still,DB,30.56,1.58,1550,25.82,69.0,1,S
00-0033280,Christian McCaffrey,RB,28.863,1.448,6067,24.519,68.9,1,S
00-0035230,Ed Oliver,DL,30.707,2.007,4011,24.687,68.9,1,S
00-0040116,Josh Simmons,OL,31.011,1.901,495,25.308,68.9,1,S
00-0033246,Johnny Mundt,TE,31.036,2.024,1872,24.965,68.7,1,S
00-0034857,Josh Allen,QB,29.315,1.29,8587,25.445,68.7,1,S
00-0035640,DK Metcalf,WR,29.276,1.481,6007,24.834,68.7,1,S
00-0036286,K'Lavon Chaisson,LB,30.448,1.586,2548,25.689,68.7,1,S
00-0037237,Derek Stingley Jr.,DB,30.154,1.466,3384,25.756,68.7,1,S
00-0038589,Josh Whyle,TE,31.69,2.244,669,24.957,68.7,1,S
00-0037076,Sean Rhyan,OL,29.513,1.414,2013,25.272,68.7,1,S
00-0039807,Max Melton,DB,31.342,1.871,932,25.73,68.6,1,S
00-0036973,Travis Etienne,RB,29.366,1.64,2688,24.445,68.5,1,S
00-0039070,Gervon Dexter Sr.,DL,29.111,1.499,1736,24.615,68.5,1,S
00-0040138,Jaylin Noel,WR,32.953,2.722,289,24.788,68.5,1,S
00-0032445,Ted Karras,OL,29.486,1.421,7628,25.222,68.4,1,S
00-0036151,Bryce Huff,DL,30.019,1.812,2057,24.583,68.4,1,S
00-0039361,Bucky Irving,RB,29.817,1.801,923,24.415,68.4,1,S
00-0033090,Hunter Henry,TE,29.12,1.417,6474,24.87,68.3,1,S
00-0038611,Chris Rodriguez Jr.,RB,32.124,2.576,409,24.395,68.3,1,S
00-0039776,Jaylen McCollough,DB,31.366,1.899,886,25.669,68.3,1,S
00-0037231,Kevin Austin Jr.,WR,31.111,2.126,535,24.732,68.3,1,S
00-0040580,Josaiah Stewart,LB,32.361,2.257,450,25.591,68.3,1,S
00-0033571,Matt Milano,LB,30.106,1.514,5667,25.564,68.1,1,S
00-0037301,Theo Jackson,DB,32.144,2.176,711,25.614,68.0,1,S
00-0035679,Connor McGovern,OL,28.991,1.284,5421,25.137,67.9,1,S
00-0039352,Marist Liufau,LB,32.733,2.408,661,25.51,67.9,1,S
00-0033109,Javon Hargrave,DL,30.114,1.882,5557,24.467,67.8,1,S
00-0036981,Christian Barmore,DL,29.249,1.601,2541,24.444,67.7,1,S
00-0034752,Orlando Brown,OL,29.371,1.431,8182,25.078,67.6,1,S
00-0032268,Marcus Mariota,QB,30.512,1.801,4419,25.11,67.5,1,S
00-0034720,Robert Spillane,LB,29.849,1.479,4311,25.411,67.5,1,S
00-0036916,Milton Williams,DL,29.297,1.631,2592,24.404,67.5,1,S
00-0036964,Derrick Barnes,LB,30.201,1.604,2497,25.39,67.4,1,S
00-0038558,Darnell Washington,TE,29.904,1.754,1582,24.642,67.4,1,S
00-0038778,Jalen Redmond,DL,29.811,1.808,975,24.387,67.4,1,S
00-0039859,Brandon Dorlus,DL,31.181,2.264,455,24.391,67.4,1,S
00-0039894,Xavier Worthy,WR,29.133,1.538,1470,24.521,67.3,1,S
00-0033868,Myles Garrett,DL,28.861,1.508,6769,24.335,67.1,1,S
00-0037743,Daxton Hill,DB,30.136,1.57,2396,25.425,67.1,1,S
00-0039165,Zach Charbonnet,RB,29.567,1.817,1443,24.115,67.1,1,A
00-0034827,DJ Moore,WR,28.495,1.351,7314,24.444,67.0,1,A
00-0038038,Kyle Hamilton,DB,29.949,1.518,3615,25.396,67.0,1,S
00-0037075,Devonte Wyatt,DL,30.217,1.967,1516,24.316,67.0,1,A
00-0039424,Devaughn Vele,WR,30.125,1.887,863,24.462,67.0,1,A
00-0040563,Efton Chism III,WR,39.757,4.58,106,26.018,67.0,1,A
00-0035234,Tytus Howard,OL,29.039,1.36,5615,24.96,66.9,1,S
00-0036563,Deommodore Lenoir,DB,29.684,1.434,4386,25.383,66.9,1,S
00-0037829,Spencer Burford,OL,29.883,1.641,2280,24.961,66.9,1,S
00-0037404,Ryan Van Demark,OL,31.893,2.311,501,24.958,66.9,1,S
00-0031583,Grady Jarrett,DL,28.592,1.439,7110,24.276,66.8,1,A
00-0033904,Dion Dawkins,OL,28.788,1.285,9498,24.934,66.8,1,S
00-0038619,Andrei Iosivas,WR,29.097,1.563,1898,24.408,66.8,1,A
00-0032391,Joe Thuney,OL,28.728,1.267,11888,24.927,66.7,1,S
00-0038118,Daniel Faalele,OL,29.234,1.438,2456,24.921,66.7,1,S
00-0039141,Brian Branch,DB,30.047,1.572,2438,25.331,66.7,1,S
00-0040125,Kelvin Banks Jr.,OL,29.793,1.623,1008,24.926,66.7,1,S
00-0036335,D.J. Wonnum,LB,29.794,1.523,3839,25.224,66.6,1,S
00-0039309,Byron Murphy II,DL,29.116,1.632,1286,24.222,66.6,1,A
00-0034431,Zaire Franklin,LB,29.463,1.42,4729,25.202,66.5,1,S
00-0035795,James Pierre,DB,30.994,1.898,1268,25.3,66.5,1,S
00-0035357,Cam Lewis,DB,30.927,1.881,1434,25.284,66.5,1,S
00-0036695,Naquan Jones,DL,31.188,2.327,1110,24.208,66.5,1,A
00-0037256,Rachaad White,RB,29.085,1.705,2518,23.969,66.5,1,A
00-0039841,Cooper DeJean,DB,29.473,1.396,1878,25.284,66.5,1,S
00-0037512,Isaiah Pola-Mao,DB,30.1,1.607,2103,25.278,66.4,1,A
00-0040733,Nick Emmanwori,DB,30.391,1.711,898,25.258,66.4,1,A
00-0033132,Kevin Byard,DB,29.127,1.294,10551,25.243,66.3,1,A
00-0036302,Jaylinn Hawkins,DB,29.53,1.428,3191,25.245,66.3,1,A
00-0037130,Reed Blankenship,DB,29.394,1.393,3280,25.217,66.2,1,A
00-0039232,Nate Wiggins,DB,29.819,1.54,1695,25.2,66.1,1,A
00-0038620,Erick Hallett,DB,38.112,3.808,139,26.69,66.1,1,A
00-0036971,Trevor Lawrence,QB,28.911,1.4,4805,24.711,66.0,1,S
00-0037261,Khalil Shakir,WR,28.653,1.479,2289,24.214,65.9,1,A
00-0038597,Chase Brown,RB,28.738,1.636,1426,23.83,65.9,1,A
00-0039660,Thomas Harper,DB,31.054,1.963,621,25.166,65.9,1,A
00-0033288,George Kittle,TE,29.296,1.676,7065,24.269,65.8,1,S
00-0035279,Charles Omenihu,DL,29.284,1.741,3307,24.062,65.8,1,A
00-0036256,Colton McKivitz,OL,28.864,1.367,3772,24.762,65.8,1,S
00-0036963,Amon-Ra St. Brown,WR,28.589,1.464,4668,24.198,65.8,1,A
00-0038621,DeMario Douglas,WR,29.915,1.91,1447,24.185,65.8,1,A
00-0039868,Troy Franklin,WR,29.253,1.688,1031,24.189,65.8,1,A
00-0039784,Justin Dedich,OL,29.614,1.618,710,24.76,65.8,1,S
00-0034844,Saquon Barkley,RB,28.194,1.469,5458,23.787,65.7,1,A
00-0034856,Denzel Ward,DB,29.841,1.572,5855,25.126,65.7,1,A
00-0037821,Charles Cross,OL,29.027,1.429,3838,24.741,65.7,1,A
00-0038133,Boye Mafe,DL,29.582,1.843,2359,24.052,65.7,1,A
00-0037228,Jaylen Warren,RB,28.978,1.727,1782,23.796,65.7,1,A
00-0039058,Steve Avila,OL,28.551,1.269,2812,24.745,65.7,1,A
00-0038606,Parker Washington,WR,28.924,1.584,1458,24.173,65.7,1,A
00-0040578,James Pearce Jr.,DL,30.179,2.046,561,24.043,65.7,1,A
00-0036222,Isaiah Rodgers,DB,29.949,1.613,2288,25.109,65.6,1,A
00-0037825,Tyler Linderbaum,OL,29.011,1.431,4188,24.719,65.6,1,A
00-0037288,Christian Benford,DB,29.288,1.394,3010,25.107,65.6,1,A
00-0039163,C.J. Stroud,QB,28.81,1.401,3051,24.607,65.6,1,S
00-0027857,Trent Williams,OL,29.006,1.433,7667,24.709,65.5,1,A
00-0035707,Devin White,LB,29.86,1.634,6272,24.958,65.5,1,S
00-0037336,Brock Hoffman,OL,30.252,1.851,1127,24.7,65.4,1,A
00-0038995,Bryan Bresee,DL,29.018,1.686,1798,23.959,65.3,1,A
00-0036323,Patrick Queen,LB,29.129,1.412,6108,24.892,65.2,1,S
00-0036358,CeeDee Lamb,WR,28.699,1.546,5154,24.06,65.2,1,A
00-0037007,Patrick Jones II,LB,31.21,2.106,1590,24.891,65.2,1,S
00-0037809,Chig Okonkwo,TE,29.365,1.745,2230,24.129,65.2,1,S
00-0032764,Derrick Henry,RB,28.749,1.698,5332,23.656,65.1,1,A
00-0033038,Eric Murray,DB,29.7,1.566,4977,25.002,65.1,1,A
00-0036442,Joe Burrow,QB,29.244,1.597,5179,24.452,65.1,1,S
00-0037236,Aidan Hutchinson,DL,28.554,1.54,3186,23.934,65.1,1,A
00-0033873,Patrick Mahomes,QB,28.554,1.373,9135,24.436,65.0,1,S
00-0038996,Tucker Kraft,TE,29.068,1.662,2045,24.081,65.0,1,A
00-0039040,De'Von Achane,RB,28.759,1.707,1644,23.637,65.0,1,A
00-0031565,Danielle Hunter,DL,28.584,1.563,7028,23.894,64.9,1,A
00-0033106,Jared Goff,QB,28.615,1.409,10075,24.387,64.9,1,A
00-0038129,Cade Otton,TE,28.343,1.429,3723,24.056,64.9,1,A
00-0034791,Nick Chubb,RB,29.435,1.948,3213,23.591,64.8,1,A
00-0036371,Leki Fotu,DL,31.095,2.411,1613,23.863,64.8,1,A
00-0036975,Walker Little,OL,28.823,1.42,2637,24.563,64.7,1,A
00-0039138,Kobie Turner,DL,28.263,1.474,2395,23.842,64.7,1,A
00-0038542,Bijan Robinson,RB,27.924,1.461,2374,23.541,64.6,1,A
00-0039360,Malik Mustapha,DB,29.624,1.575,1499,24.9,64.6,1,A
00-0036389,Jalen Hurts,QB,28.431,1.383,5670,24.28,64.5,1,A
00-0036554,Nico Collins,WR,28.445,1.512,3003,23.909,64.5,1,A
00-0036875,Rhamondre Stevenson,RB,28.054,1.515,2623,23.509,64.5,1,A
00-0036603,Alaric Jackson,OL,28.229,1.229,3587,24.541,64.5,1,A
00-0037838,Isaiah Likely,TE,29.156,1.731,2107,23.963,64.5,1,A
00-0037817,Zach Tom,OL,29.094,1.518,3201,24.541,64.5,1,A
00-0038934,Anton Harrison,OL,28.8,1.422,2918,24.536,64.5,1,A
00-0030062,Darius Slay,DB,29.977,1.713,8484,24.838,64.4,1,A
00-0036621,Nick Bolton,LB,29.026,1.435,4652,24.721,64.4,1,A
00-0033908,Cooper Kupp,WR,28.23,1.459,6974,23.854,64.3,1,A
00-0036349,Kam Curl,DB,28.801,1.324,5669,24.829,64.3,1,A
00-0039794,Braelon Allen,RB,32.156,2.897,322,23.466,64.3,1,A
00-0040185,Marques Sigle,DB,31.266,2.143,451,24.836,64.3,1,A
00-0029592,Kevin Zeitler,OL,29.091,1.534,9969,24.488,64.2,1,A
00-0035125,Alec Ingold,RB,29.637,2.068,1997,23.433,64.2,1,A
00-0036944,Jaycee Horn,DB,29.062,1.418,3089,24.808,64.2,1,A
00-0036629,Camryn Bynum,DB,29.071,1.425,4487,24.796,64.2,1,A
00-0040691,Jaxson Dart,QB,29.954,1.915,726,24.209,64.2,1,A
00-0040146,Wyatt Milum,OL,41.572,4.425,99,28.298,64.2,1,A
00-0037195,Jaylen Watson,DB,29.308,1.505,2494,24.793,64.1,1,A
00-0037384,Ja'Quan McMillian,DB,29.173,1.461,2352,24.789,64.1,1,A
00-0040582,Arian Smith,WR,32.138,2.777,361,23.809,64.1,1,A
00-0034855,Baker Mayfield,QB,28.314,1.385,7657,24.159,64.0,1,A
00-0036327,Ezra Cleveland,OL,28.661,1.404,5420,24.448,64.0,1,A
00-0040716,Craig Woodson,DB,29.321,1.522,1150,24.755,64.0,1,A
00-0039923,J.J. McCarthy,QB,30.489,2.114,492,24.147,64.0,1,A
00-0033376,Patrick Ricard,RB,29.264,1.966,3637,23.366,63.9,1,A
00-0035687,Bobby Okereke,LB,29.158,1.518,5865,24.602,63.9,1,A
00-0039111,Tuli Tuipulotu,LB,29.413,1.6,2275,24.614,63.9,1,A
00-0038551,Kendre Miller,RB,32.863,3.163,307,23.374,63.9,1,A
00-0039919,Rome Odunze,WR,28.012,1.418,1707,23.757,63.9,1,A
00-0029892,Kyle Juszczyk,RB,28.56,1.733,5196,23.361,63.8,1,A
00-0030565,Geno Smith,QB,28.828,1.577,4076,24.097,63.8,1,A
00-0034760,Nathan Shepherd,DL,28.768,1.7,3421,23.667,63.8,1,A
00-0035718,Quinnen Williams,DL,28.772,1.703,4691,23.664,63.8,1,A
00-0036862,Ben Skowronek,WR,31.088,2.446,1391,23.75,63.8,1,A
00-0038731,TJ Bass,OL,30.078,1.891,948,24.405,63.8,1,A
00-0039373,Audric Estimé,RB,30.944,2.53,299,23.352,63.8,1,A
00-0036258,Jonah Jackson,OL,28.263,1.291,5075,24.39,63.7,1,A
00-0037243,Tyler Smith,OL,28.637,1.416,4191,24.388,63.7,1,A
00-0034675,Jessie Bates,DB,28.975,1.43,8497,24.686,63.6,1,A
00-0033955,Jeremy McNichols,RB,29.684,2.129,1061,23.298,63.6,1,A
00-0038679,Tyrell Shavers,WR,29.957,2.09,470,23.687,63.5,1,A
00-0032762,Chris Jones,DL,28.279,1.563,7726,23.591,63.4,1,A
00-0036321,Chase Young,DL,28.678,1.699,3407,23.581,63.4,1,A
00-0036934,Jaelan Phillips,LB,29.213,1.573,2705,24.493,63.4,1,A
00-0038115,Daniel Bellinger,TE,29.046,1.784,2141,23.694,63.4,1,A
00-0036244,Colby Parkinson,TE,27.933,1.417,2487,23.681,63.3,1,A
00-0034302,Frankie Luvu,LB,28.882,1.478,4979,24.447,63.2,1,A
00-0034163,Jacob Martin,DL,28.836,1.763,2833,23.548,63.2,1,A
00-0036275,D'Andre Swift,RB,27.761,1.513,3298,23.222,63.2,1,A
00-0036937,Paulson Adebo,DB,29.514,1.642,3581,24.589,63.2,1,A
00-0036625,Benjamin St-Juste,DB,30.49,1.963,3106,24.602,63.2,1,A
00-0038588,Jordan Howden,DB,30.78,2.065,1299,24.586,63.2,1,A
00-0038563,Tre Tucker,WR,28.319,1.568,2144,23.614,63.2,1,A
00-0036962,Tre'von Moehrig,DB,28.732,1.389,5079,24.565,63.1,1,A
00-0036974,Tyson Campbell,DB,29.114,1.513,4230,24.575,63.1,1,A
00-0037190,Sauce Gardner,DB,29.39,1.604,3478,24.578,63.1,1,A
00-0032381,Taylor Decker,OL,28.661,1.465,8928,24.265,63.0,1,A
00-0033055,Jalen Ramsey,DB,28.824,1.426,9756,24.546,63.0,1,A
00-0031270,Shelby Harris,DL,28.895,1.793,4398,23.516,63.0,1,A
00-0036252,Michael Pittman,WR,27.959,1.467,5369,23.558,63.0,1,A
00-0038117,Wan'Dale Robinson,WR,28.06,1.495,2547,23.576,63.0,1,A
00-0038840,Brycen Tremayne,WR,32.405,2.948,262,23.56,63.0,1,A
00-0040720,Jahdae Barron,DB,31.85,2.43,329,24.559,63.0,1,A
00-0034829,Mike Gesicki,TE,29.296,1.906,4177,23.578,62.9,1,A
00-0036957,Drew Dalman,OL,28.081,1.275,3738,24.256,62.9,1,A
00-0039740,Jalyx Hunt,LB,29.499,1.707,1016,24.378,62.9,1,A
00-0030061,Zach Ertz,TE,28.485,1.643,7344,23.554,62.8,1,A
00-0035699,Jamel Dean,DB,29.331,1.607,4983,24.51,62.8,1,A
00-0036221,Brandon Jones,DB,28.833,1.442,3610,24.506,62.8,1,A
00-0036914,Greg Rousseau,LB,28.92,1.522,3236,24.355,62.8,1,A
00-0035942,Christian Rozeboom,LB,28.717,1.457,2299,24.346,62.8,1,A
00-0038596,Antonio Johnson,DB,29.655,1.716,1455,24.507,62.8,1,A
00-0029607,Demario Davis,LB,28.761,1.479,9914,24.324,62.7,1,A
00-0034383,Dalton Schultz,TE,28.04,1.505,5783,23.526,62.7,1,A
00-0039905,Graham Barton,OL,28.394,1.394,2119,24.21,62.7,1,A
00-0040122,Ashton Jeanty,RB,28.713,1.873,737,23.096,62.7,1,A
00-0033914,Alex Anzalone,LB,28.785,1.494,5803,24.303,62.6,1,A
00-0036333,Alex Highsmith,LB,29.036,1.579,4333,24.3,62.6,1,A
00-0036264,Jordan Love,QB,27.89,1.375,3081,23.766,62.6,1,A
00-0037074,Quay Walker,LB,28.592,1.431,3411,24.301,62.6,1,A
00-0037092,Chris Paul,OL,28.933,1.576,1379,24.205,62.6,1,A
00-0033297,D.J. Jones,DL,28.556,1.715,3698,23.412,62.5,1,A
00-0034874,Roquan Smith,LB,28.737,1.486,7577,24.278,62.5,1,A
00-0031330,Morgan Moses,OL,28.168,1.336,9437,24.16,62.4,1,A
00-0029562,Lavonte David,LB,28.703,1.477,9992,24.271,62.4,1,A
00-0035149,Nick Allegretti,OL,29.704,1.847,2957,24.162,62.4,1,A
00-0036212,Tua Tagovailoa,QB,28.527,1.608,4398,23.703,62.4,1,A
00-0037235,Travon Walker,DL,28.406,1.669,3066,23.4,62.4,1,A
00-0040342,Danny Striggow,DL,36.469,4.012,141,24.434,62.4,1,A
00-0036932,Micah Parsons,LB,28.995,1.583,4084,24.247,62.3,1,A
00-0036849,Tutu Atwell,WR,29.413,2.001,1554,23.409,62.3,1,A
00-0037834,Brock Purdy,QB,28.091,1.47,3127,23.682,62.3,1,A
00-0037596,Jack Gibbens,LB,29.477,1.744,1595,24.246,62.3,1,A
00-0039077,Warren McClendon Jr.,OL,28.177,1.344,1176,24.146,62.3,1,A
00-0039851,Drake Maye,QB,27.722,1.348,1866,23.68,62.3,1,A
00-0040144,Jamaree Caldwell,DL,30.228,2.286,491,23.371,62.3,1,A
00-0036417,Damien Lewis,OL,28.303,1.393,5411,24.124,62.2,1,A
00-0037616,Nick Cross,DB,28.656,1.425,2547,24.38,62.2,1,A
00-0029606,Harrison Smith,DB,29.115,1.583,9665,24.367,62.1,1,A
00-0031408,Mike Evans,WR,28.554,1.729,8306,23.367,62.1,1,A
00-0033576,Eric Saubert,TE,29.182,1.935,1782,23.376,62.1,1,A
00-0034348,Courtland Sutton,WR,27.402,1.342,6077,23.375,62.1,1,A
00-0034974,Julian Love,DB,28.8,1.477,5254,24.37,62.1,1,A
00-0035669,Nick Scott,DB,28.587,1.406,3701,24.369,62.1,1,A
00-0036912,DeVonta Smith,WR,27.659,1.429,5128,23.372,62.1,1,A
00-0039850,Edgerrin Cooper,LB,28.571,1.455,1548,24.206,62.1,1,A
00-0036259,Jauan Jennings,WR,27.745,1.467,2899,23.344,62.0,1,A
00-0033890,Budda Baker,DB,28.873,1.515,8024,24.329,61.9,1,A
00-0035248,Zach Allen,DL,27.574,1.43,4604,23.285,61.9,1,A
00-0035316,Kaden Elliss,LB,28.443,1.43,3880,24.153,61.9,1,A
00-0039137,Byron Young,LB,28.592,1.48,2766,24.151,61.9,1,A
00-0040746,Nic Scourton,LB,29.377,1.741,724,24.153,61.9,1,A
00-0035685,David Montgomery,RB,28.616,1.91,3887,22.885,61.8,1,A
00-0040639,Grey Zabel,OL,28.54,1.497,1173,24.049,61.8,1,A
00-0023459,Aaron Rodgers,QB,27.661,1.386,8624,23.504,61.7,1,A
00-0032395,Graham Glasgow,OL,28.505,1.492,8623,24.029,61.7,1,A
